"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
"GEO-Cloud_003-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,10235.274,10 Aug 2014 19:20:35.274,10743.421,10 Aug 2014 19:29:03.421,508.147
2,15977.267,10 Aug 2014 20:56:17.267,16579.668,10 Aug 2014 21:06:19.668,602.401
3,53636.449,11 Aug 2014 07:23:56.449,53688.226,11 Aug 2014 07:24:48.226,51.776
4,59156.720,11 Aug 2014 08:55:56.720,59811.504,11 Aug 2014 09:06:51.504,654.784

"GEO-Cloud_003-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,36320.525,11 Aug 2014 02:35:20.525,36739.489,11 Aug 2014 02:42:19.489,418.964
2,42017.970,11 Aug 2014 04:10:17.970,42620.124,11 Aug 2014 04:20:20.124,602.154
3,80218.928,11 Aug 2014 14:46:58.928,80713.233,11 Aug 2014 14:55:13.233,494.305
4,85974.786,11 Aug 2014 16:22:54.786,86400.000,11 Aug 2014 16:30:00.000,425.214

"GEO-Cloud_003-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,1737.629,10 Aug 2014 16:58:57.629,2399.829,10 Aug 2014 17:09:59.829,662.200
2,7725.653,10 Aug 2014 18:38:45.653,8128.811,10 Aug 2014 18:45:28.811,403.158
3,44119.469,11 Aug 2014 04:45:19.469,44645.175,11 Aug 2014 04:54:05.175,525.706
4,49890.258,11 Aug 2014 06:21:30.258,50551.882,11 Aug 2014 06:32:31.882,661.624
5,55748.701,11 Aug 2014 07:59:08.701,56220.965,11 Aug 2014 08:07:00.965,472.264
6,78493.082,11 Aug 2014 14:18:13.082,78709.737,11 Aug 2014 14:21:49.737,216.655
7,84025.126,11 Aug 2014 15:50:25.126,84637.228,11 Aug 2014 16:00:37.228,612.102

"GEO-Cloud_003-To-Puertollano - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,20843.203,10 Aug 2014 22:17:23.203,21430.885,10 Aug 2014 22:27:10.885,587.682
2,26643.039,10 Aug 2014 23:54:03.039,27237.070,11 Aug 2014 00:03:57.070,594.030
3,60339.705,11 Aug 2014 09:15:39.705,60886.133,11 Aug 2014 09:24:46.133,546.428
4,66091.700,11 Aug 2014 10:51:31.700,66717.356,11 Aug 2014 11:01:57.356,625.656

