15,81995.147,11 Aug 2014 15:16:35.147,82202.192,11 Aug 2014 15:20:02.192,207.045


"GEO-Cloud_011-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,78998.419,11 Aug 2014 14:26:38.419,79609.106,11 Aug 2014 14:36:49.106,610.687
12,84768.974,11 Aug 2014 16:02:48.974,84999.400,11 Aug 2014 16:06:39.400,230.426

"GEO-Cloud_012-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80526.564,11 Aug 2014 14:52:06.564,80833.610,11 Aug 2014 14:57:13.610,307.045

"GEO-Cloud_012-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79475.966,11 Aug 2014 14:34:35.966,80110.131,11 Aug 2014 14:45:10.131,634.165


"GEO-Cloud_012-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82078.956,11 Aug 2014 15:17:58.956,82699.723,11 Aug 2014 15:28:19.723,620.766

"GEO-Cloud_012-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,80080.297,11 Aug 2014 14:44:40.297,80600.170,11 Aug 2014 14:53:20.170,519.874


"GEO-Cloud_012-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,82866.220,11 Aug 2014 15:31:06.220,83517.641,11 Aug 2014 15:41:57.641,651.421

"GEO-Cloud_012-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,81051.771,11 Aug 2014 15:00:51.771,81525.669,11 Aug 2014 15:08:45.669,473.898


"GEO-Cloud_012-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
14,81643.435,11 Aug 2014 15:10:43.435,81852.404,11 Aug 2014 15:14:12.404,208.970


"GEO-Cloud_012-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,78657.912,11 Aug 2014 14:20:57.912,79271.374,11 Aug 2014 14:31:11.374,613.463
12,84430.379,11 Aug 2014 15:57:10.379,84999.400,11 Aug 2014 16:06:39.400,569.021

"GEO-Cloud_013-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,80237.947,11 Aug 2014 14:47:17.947,80446.476,11 Aug 2014 14:50:46.476,208.530

"GEO-Cloud_013-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79139.636,11 Aug 2014 14:28:59.636,79761.582,11 Aug 2014 14:39:21.582,621.946
4,84984.892,11 Aug 2014 16:06:24.892,84999.400,11 Aug 2014 16:06:39.400,14.508


"GEO-Cloud_013-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,81740.503,11 Aug 2014 15:12:20.503,82349.706,11 Aug 2014 15:22:29.706,609.203

"GEO-Cloud_013-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,79723.375,11 Aug 2014 14:38:43.375,80275.182,11 Aug 2014 14:47:55.182,551.806


"GEO-Cloud_013-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,82528.571,11 Aug 2014 15:25:28.571,83173.659,11 Aug 2014 15:36:13.659,645.088

"GEO-Cloud_013-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,80726.033,11 Aug 2014 14:55:26.033,81177.731,11 Aug 2014 15:02:57.731,451.697


"GEO-Cloud_013-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
14,81291.324,11 Aug 2014 15:04:51.324,81503.044,11 Aug 2014 15:08:23.044,211.720


"GEO-Cloud_013-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,78461.000,11 Aug 2014 14:17:41.000,78933.587,11 Aug 2014 14:25:33.587,472.587
12,84091.676,11 Aug 2014 15:51:31.676,84673.326,11 Aug 2014 16:01:13.326,581.650


"GEO-Cloud_014-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,78804.644,11 Aug 2014 14:23:24.644,79411.556,11 Aug 2014 14:33:31.556,606.911
4,84632.504,11 Aug 2014 16:00:32.504,84999.400,11 Aug 2014 16:06:39.400,366.896


"GEO-Cloud_014-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,81402.759,11 Aug 2014 15:06:42.759,81998.758,11 Aug 2014 15:16:38.758,595.999

"GEO-Cloud_014-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,79369.335,11 Aug 2014 14:32:49.335,79947.625,11 Aug 2014 14:42:27.625,578.290


